strategy,k,snapshots,recall_mean,recall_std,precision_mean,lift_mean,base_rate_mean
baseline_recency,10,37,0.09515403177907202,0.0587157758294021,0.36486486486486486,1.3517593731274768,0.2468906363567474
model,10,37,0.20156638737774601,0.17386303734882452,0.5837837837837838,2.6137706333568147,0.2468906363567474
baseline_recency,30,37,0.29108331345045957,0.14438317972910866,0.34684684684684686,1.3455112922628665,0.2468906363567474
model,30,37,0.3999013794338392,0.1910072051153969,0.4279279279279279,1.774381471165331,0.2468906363567474
baseline_recency,50,37,0.49751370321826266,0.2022677649580866,0.32432432432432434,1.3319922962763395,0.2468906363567474
model,50,37,0.5504103245952757,0.20054194462409816,0.3664864864864865,1.4860175687871555,0.2468906363567474
