model,pr_auc,roc_auc,train_rows,test_rows,train_start,train_end,test_start,test_end,recall_at_10,precision_at_10,recall_at_30,precision_at_30,recall_at_50,precision_at_50,uplift_pr_auc_vs_baseline
baseline_recency,0.3582779627718341,0.6127704318740866,21299,5191,2022-09-12,2025-06-09,2025-06-16,2026-02-23,0.004310344827586207,0.6,0.010057471264367816,0.4666666666666667,0.020114942528735632,0.56,0.0
random_forest,0.45499264027832703,0.6405859981301796,21299,5191,2022-09-12,2025-06-09,2025-06-16,2026-02-23,0.00646551724137931,0.9,0.01867816091954023,0.8666666666666667,0.027298850574712645,0.76,0.09671467750649293
